video_name,label
12583,7
12585,7
12595,7
12620,7
12634,7
12637,7
12645,7
12652,7
12658,7
12669,7
12711,7
12712,7
12718,7
12720,7
12818,7
12844,7
12845,2
12847,7
12874,7
12881,7
12902,7
12903,2
12905,2
12909,2
12927,7
12928,7
12935,7
12938,2
12941,2
12943,7
12945,2
12949,7
12950,1
12952,1
12953,1
12956,1
12958,7
12962,1
12963,7
12966,2
12969,1
12972,1
12982,7
12983,1
12985,1
12986,2
12990,1
12991,2
12992,1
12993,1
12994,1
12995,1
12997,7
12998,1
12999,2
13000,2
13017,7
13022,1
13023,1
13024,1
13029,2
13032,1
13035,1
13037,1
13038,1
13040,7
13041,1
13043,1
13049,2
13050,1
13054,2
13056,1
13060,2
13062,7
13065,2
13071,1
13076,1
13079,1
13080,4
13082,4
13084,1
13088,2
13090,2
13091,1
13092,2
13094,1
13098,4
13099,1
13100,1
13102,2
13105,1
13106,7
13112,4
13117,4
13120,1
13122,2
13123,1
13124,1
13127,1
13129,7
13131,2
13132,1
13137,2
13138,1
13141,1
13144,1
13145,1
13149,2
13151,2
13152,7
13153,2
13156,4
13157,2
13160,4
13162,4
13164,1
13166,2
13169,1
13170,2
13173,1
13174,1
13175,1
13177,1
13179,7
13180,2
13181,4
13182,1
13186,2
13188,1
13193,4
13194,2
13203,1
13204,1
13206,4
13207,1
13208,4
13210,2
13211,2
13216,2
13224,7
13228,7
13229,2
13231,2
13232,4
13233,4
13237,4
13240,4
13242,2
13244,3
13245,2
13246,4
13248,3
13250,1
13252,1
13254,1
13255,3
13256,7
13257,2
13258,3
13259,1
13260,1
13262,4
13263,7
13264,2
13267,3
13269,3
13271,1
13272,1
13274,1
13276,1
13277,7
13279,3
13280,7
13281,4
13282,4
13285,7
13288,3
13290,1
13294,1
13295,7
13296,1
13297,4
13298,1
13299,4
13301,4
13302,1
13305,3
13309,4
13310,1
13311,7
13312,1
13313,1
13316,4
13317,3
13318,4
13319,1
13321,4
13322,2
13327,2
13329,3
13330,3
13331,3
13332,3
13333,3
13334,1
13335,7
13336,1
13337,3
13338,1
13339,4
13340,3
13341,2
13342,1
13343,3
13346,3
13349,1
13353,7
13356,3
13361,4
13362,1
13363,5
13364,3
13365,1
13367,5
13370,1
13372,1
13373,3
13374,3
13375,1
13376,3
13377,3
13378,3
13380,1
13381,1
13383,4
13384,1
13385,3
13386,4
13387,1
13388,3
13390,2
13394,5
13396,3
13397,4
13398,1
13399,7
13401,4
13405,3
13406,5
13407,5
13408,1
13410,5
13411,4
13412,1
13413,1
13416,5
13417,4
13418,1
13421,4
13423,4
13426,1
13427,1
13430,4
13431,7
13432,1
13433,3
13434,3
13435,4
13440,2
13442,5
13443,1
13445,1
13447,1
13449,7
13450,1
13452,4
13453,4
13454,3
13455,3
13458,3
13459,5
13461,1
13463,3
13464,2
13465,1
13467,2
13468,4
13469,3
